epoch,accuracy,loss,val_accuracy,val_loss
0,0.779418408870697,0.40834951400756836,0.6875698566436768,0.5365280508995056
1,0.8048146367073059,0.3856970965862274,0.6882257461547852,0.5271136164665222
2,0.8128789067268372,0.37787926197052,0.6882621645927429,0.5330408215522766
3,0.8144016265869141,0.3741130530834198,0.68673175573349,0.5386677384376526
4,0.8162437677383423,0.36918240785598755,0.6876062750816345,0.5248748660087585
5,0.8191809058189392,0.36567017436027527,0.6871204376220703,0.54413902759552
6,0.8202816247940063,0.36440950632095337,0.6872661709785461,0.5262188911437988
7,0.8214279413223267,0.36251744627952576,0.6871447563171387,0.5239418148994446
8,0.822272002696991,0.3626268208026886,0.7065417766571045,0.5340586304664612
9,0.8232415914535522,0.3618198037147522,0.6971651315689087,0.5342971682548523
10,0.8236122727394104,0.36105185747146606,0.6869747042655945,0.5434123873710632
11,0.8237719535827637,0.36078622937202454,0.7020599246025085,0.5405392646789551
12,0.8237263560295105,0.3610580563545227,0.703675389289856,0.5494682788848877
13,0.8252947330474854,0.3535718023777008,0.7017320394515991,0.5352188944816589
14,0.8259106278419495,0.35328447818756104,0.700505256652832,0.5404086112976074
15,0.826612114906311,0.35237330198287964,0.6990720629692078,0.5331467390060425
16,0.8270455598831177,0.3519994616508484,0.698440432548523,0.5393097996711731
17,0.8272680044174194,0.3512621819972992,0.7016834020614624,0.5327678322792053
